|            |      |    |
|:-----------|:-----|:---|
| Devonport  |      |    |
| Dwell Time |      |    |
| Class 158  |      | 1  |
| Dockyard   |      |    |
| Dwell Time |      |    |
| Class 15x  | 1⁄2* |    |
