|                                                                |      |     |    |    |                                  |         |
|:---------------------------------------------------------------|:-----|:----|:---|:---|:---------------------------------|:--------|
| LN200 WRAWBY JUNCTION TO PELHAM STREET JUNCTION                |      |     |    |    |                                  |         |
| Timing Section                                                 | Type | LH  |    | MU | Freight                          | Remarks |
|                                                                |      | HST |    | LL |                                  |         |
|                                                                |      | EPU |    |    |                                  |         |
|                                                                |      | 22X |    |    |                                  |         |
| Down – Weekdays                                                |      |     |    |    |                                  |         |
| Approach Pelham Street Junction                                | E    | 1   |    | 1  | 1                                |         |
| Up – Weekdays                                                  |      |     |    |    |                                  |         |
| Approach Wrawby Junction                                       | E    | 1   |    | 1  | 1                                |         |
| LN206 NEWARK FLAT CROSSING (INCLUSIVE) TO WEST HOLMES JUNCTION |      |     |    |    |                                  |         |
| Timing Section                                                 | Type | LH  |    | MU | Freight                          | Remarks |
|                                                                |      | HST |    | LL |                                  |         |
|                                                                |      | 80X |    |    |                                  |         |
|                                                                |      | EPU |    |    |                                  |         |
|                                                                |      | 22X |    |    |                                  |         |
| Down – Weekdays                                                |      |     |    |    |                                  |         |
| Approach Boultham Junction                                     | E    | 1   |    | 1  | 1                                |         |
| Up – Weekdays                                                  |      |     |    |    |                                  |         |
| Approach Newark Crossing East                                  | E    | 1   |    | 1  | 1                                |         |
| Junction                                                       |      |     |    |    |                                  |         |
| LN627 LONGLANDS JUNCTION TO NEWCASTLE EAST JUNCTION VIA THE    |      |     |    |    |                                  |         |
| COAST                                                          |      |     |    |    |                                  |         |
| Timing Section                                                 | Type | LH  |    | MU | Freight                          | Remarks |
|                                                                |      | HST |    | LL |                                  |         |
|                                                                |      | EPU |    |    |                                  |         |
|                                                                |      | 22X |    |    |                                  |         |
| Up – Sunday                                                    |      |     |    |    |                                  |         |
| Approach Sunderland                                            | E    |     | 1  |    | All Northern and TWM terminating |         |
|                                                                |      |     |    |    | services only                    |         |
