|                                           |      |      |                                                           |
|:------------------------------------------|:-----|:-----|:----------------------------------------------------------|
| MD940 WORCESTER SHRUB HILL TO SHELWICK JN |      |      |                                                           |
| TIMING POINT                              | DOWN | UP   | NOTES                                                     |
| Ledbury to Shelwick Jn                    | AB+2 | AB+2 | Single Line                                               |
|                                           |      |      |                                                           |
|                                           |      |      | At Hereford the signaller has to see or be advised by     |
|                                           |      |      | the driver or station staff that a train in classes 0, 4, |
|                                           |      |      | 6, 7 and 8 coming from the Ledbury direction is           |
|                                           |      |      | complete with a tail lamp before another train can be     |
|                                           |      |      | accepted from the Leominster or Ledbury directions.       |
|                                           |      |      | Also, a train cannot pass Shelwick Jn towards             |
|                                           |      |      | Ledbury until confirmation that the previous Down         |
|                                           |      |      | train in classes 0, 4, 6, 7, 8 arrived complete.          |
|                                           |      |      |                                                           |
|                                           |      |      | At Ledbury the signaller has to be advised by use of      |
|                                           |      |      | the ‘train arrived complete button’ at the station that   |
|                                           |      |      | any train coming from the Hereford direction is           |
|                                           |      |      | complete with a tail lamp before another train can be     |
|                                           |      |      | accepted from or sent towards the Hereford                |
|                                           |      |      | direction.                                                |
| MD950 WORCESTER TUNNEL JN TO HENWICK      |      |      |                                                           |
| TIMING POINT                              | DOWN | UP   | NOTES                                                     |
