| Pass on DN                                                                                                                                                                                                            | 21⁄2  | 21⁄2     | 21⁄2  | 21⁄2      | 21⁄2      | 21⁄2     | 21⁄2       | H       | H      | H          |           | H      | H        | H             |    |
| K’holme from IBT                                                                                                                                                                                                      |       |          |       |           |           |          |            |         |        |            |           |        |          |               |    |
| Ore Line                                                                                                                                                                                                              |       |          |       |           |           |          |            |         |        |            |           |        |          |               |    |
|                                                                                                                                                                                                                       | Pass  | Pass     | Pass  | Pass on   | Pass on   | Pass on  | Pass on    | Pass    | Pass   | Pass on    | Pass on   | Pass   | Pass on  | Pass on DN    |    |
|                                                                                                                                                                                                                       | on Up | on Up    | on    | Up        | Up        | Up       | Up         | on DN   | on DN  | DN         | DN        | on DN  | DN       | Ki’holme from |    |
|                                                                                                                                                                                                                       | K’hol | K’holm   | Up    | K’holme   | K’holme   | K’holme  | K’holme    | K’holm  | K’holm | K’holme    | K’holme   | K’holm | Ki’holme | IBT Ore Line  |    |
|                                                                                                                                                                                                                       | me to | e to IBT | K’hol | to HIT    | to        | to       | to Mineral | e from  | e from | from       | from HIT  | e from | from IBT |               |    |
|                                                                                                                                                                                                                       | IBT   | Coal     | me to | No. 1 or  | Western   | Henderso | Quay       | Mineral | Hender | Western    | No.1 or   | IBT    | Coal Pad |               |    |
|                                                                                                                                                                                                                       | Ore   | Pad 1    | IBT   | No.2      | Jetty     | n Quay   |            | Quay    | son    | Jetty      | No.2      | Coal   | 1        |               |    |
|                                                                                                                                                                                                                       | Line  |          | Coal  | Arrival/  | Arrival   |          |            |         | Quay   | Departure  | Arrival/  | Pad 2  |          |               |    |
|                                                                                                                                                                                                                       |       |          | Pad   | Departure | Line (for |          |            |         |        | Line (from | Departure |        |          |               |    |
|                                                                                                                                                                                                                       |       |          | 2     |           | Simon     |          |            |         |        | Simon      | Line      |        |          |               |    |
|                                                                                                                                                                                                                       |       |          |       |           | Storage   |          |            |         |        | Storage    |           |        |          |               |    |
|                                                                                                                                                                                                                       |       |          |       |           | West) †   |          |            |         |        | West)      |           |        |          |               |    |
| P = Parallel move; H = a following move on headway (6 minutes for LN740/742); —* = a following move in the same direction with differential value detailed; n/a = Move not applicable, one train working in terminal; |       |          |       |           |           |          |            |         |        |            |           |        |          |               |    |
| †= With the exception of LD moves, all trains destined for Simon Storage West are required to perform a run round on the Western Jetty Arrivals line and propel into the terminal. This requires the use of the Down  |       |          |       |           |           |          |            |         |        |            |           |        |          |               |    |
| Killingholme Line.                                                                                                                                                                                                    |       |          |       |           |           |          |            |         |        |            |           |        |          |               |    |
