|                                                  |                                                                         |
|:-------------------------------------------------|:------------------------------------------------------------------------|
| New or Amended text is red                       |                                                                         |
| Deleted text is green and struck through         |                                                                         |
| Class 9                                          | Amended 9Hxx and 9Txx to show which terminal they are going to.         |
| GW103                                            | At Paddington, amended station working note to show that Class 345s are |
|                                                  | prohibeted from platforms 6 and 7                                       |
|                                                  | At Up Iver Loop added UDG to Up line code                               |
| GW105                                            | Added 150 TIPLOC limit note to notes column at Bridgwater               |
| GW182                                            | Added Colnbrook Aggregates terminal to planning geography               |
| GW225                                            |                                                                         |
| GW500                                            |                                                                         |
| GW660                                            |                                                                         |
| Added notes to Reading Signals T1726 and T1728   |                                                                         |
| Reading Signals T1726 and T1728 removed from LOR |                                                                         |
| Goss Moor Loop removed                           |                                                                         |
| S' added to code column at Cwmbach and Fernhill  |                                                                         |
| Pencoed Up Passenger loop removed                |                                                                         |
