|                                |                               |              |
|:-------------------------------|:------------------------------|:-------------|
| Connectional Allowance         | 2                             |              |
| Dwell Time                     |                               |              |
| 15x                            | 1                             |              |
| Junction Margins               |                               |              |
| First Movement                 | Second Movement               | Margin       |
| Arriving from Clifton Down     | Departure to Clifton Down     | Simultaneous |
| Arriving from St. Andrews Road | Departure towards St. Andrews | 2            |
|                                | Road                          |              |
| Portway Park and Ride          |                               |              |
| Dwell Time                     |                               |              |
| 150 / 158 / 16x                | 1⁄2                           |              |
| Shirehampton                   |                               |              |
| Dwell Time                     |                               |              |
| 15x & 16x                      | 1⁄2                           |              |
| Sea Mills                      |                               |              |
| Dwell Time                     |                               |              |
| 15x & 16x                      | 1⁄2                           |              |
