|                                                             |                                                                                                                 |    |
|:------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------|:---|
|                                                             | Nantwich                                                                                                        |    |
|                                                             | Dwell Time                                                                                                      |    |
|                                                             | LH                                                                                                              | 1  |
| GW770 EBBW VALE TOWN TO GAER JUNCTION (WESTERN VALLEY LINE) |                                                                                                                 |    |
| Ebbw Vale Town                                              |                                                                                                                 |    |
| Turnaround Allowance                                        | 4                                                                                                               |    |
|                                                             | GW810 RHYMNEY TO QUEEN STREET NORTH JUNCTION                                                                    |    |
|                                                             | Bargoed                                                                                                         |    |
|                                                             | Dwell Time for Cardiff Valley 150 & 231                                                                         | 1  |
|                                                             | Junction Margin                                                                                                 | 2  |
|                                                             | Platform Re-occupation                                                                                          | 3  |
|                                                             | Ystrad Mynach                                                                                                   |    |
|                                                             | Connectional Allowance                                                                                          | 3  |
|                                                             | Platform Re-occupation                                                                                          | 3* |
|                                                             | * 4 minutes applies on the Up Platform between a Down departure in the Cardiff direction and an Up arrival from |    |
|                                                             | the Cardiff direction                                                                                           |    |
|                                                             | Caerphilly                                                                                                      |    |
|                                                             | Platform Re-occupation                                                                                          | 3  |
