|                                                      |                    |               |                                               |
|:-----------------------------------------------------|:-------------------|:--------------|:----------------------------------------------|
| SW100D CLAPHAM JUNCTION TO LONGHEDGE JUNCTION        |                    |               |                                               |
| LINE/LOCATION                                        | SECTION            | CRITICAL      | REMARKS                                       |
|                                                      |                    | TIMES SX      |                                               |
| Clapham Junction                                     | Ludgate Junction   | 07.00 – 09.00 | From Ludgate Line /Latchmere Reversible       |
|                                                      |                    | 16.30 – 18.30 | to Down Windsor Lines (Plats 5/6)/Clapham     |
|                                                      |                    |               | Yard                                          |
| SW100E CLAPHAM JUNCTION TO LATCHMERE JUNCTION (NO 2) |                    |               |                                               |
| LINE/LOCATION                                        | SECTION            | CRITICAL      | REMARKS                                       |
|                                                      |                    | TIMES SX      |                                               |
| Clapham Junction                                     | Latchmere Junction | 07.00 – 09.00 | From Ludgate Line /Latchmere Reversible       |
|                                                      | (No 2)             | 16.30 – 18.30 | to Down Windsor Lines (Plats 5/6)/Clapham     |
|                                                      |                    |               | Yard                                          |
| North Pole Junction and                              | No more than 13    | All day       | Stopping services are likely to absorb more   |
| Latchmere Junction (No 3)                            | paths per hour in  |               | than one path                                 |
|                                                      | each direction     |               |                                               |
| SW105 CLAPHAM JUNCTION TO WEYMOUTH                   |                    |               |                                               |
| LINE/LOCATION                                        | SECTION            | CRITICAL      | REMARKS                                       |
|                                                      |                    | TIMES SX      |                                               |
| Basingstoke                                          | Southcote Junction | 06.00 – 09.00 | Southbound from Reading direction.            |
|                                                      |                    | 16.30 – 19.30 |                                               |
| Eastleigh                                            | Platforms 2 and 3  | 06.00 – 08.00 | Additional moves to/from the Depot and        |
|                                                      |                    | 17.15 – 19.45 | Yard will be subject to negotiation between   |
|                                                      |                    |               | the bidding operator and Network Rail.        |
| London Waterloo and                                  | It is intended to  | 06.00 – 21.00 | In peak periods no more than 25 non stop      |
| Woking                                               | restrict usage to  | EWD           | trains per hour will be permitted on the fast |
|                                                      | 90% of capacity    |               | Lines                                         |
| SW125 SOUTHCOTE JUNCTION TO BASINGSTOKE              |                    |               |                                               |
| LINE/LOCATION                                        | SECTION            | CRITICAL      | REMARKS                                       |
|                                                      |                    | TIMES SX      |                                               |
| Basingstoke                                          | Southcote Junction | 06.00 – 09.00 | Southbound from Reading direction.            |
|                                                      |                    | 16.30 – 19.30 |                                               |
| SW130 EASTLEIGH EAST JUNCTION TO ROMSEY              |                    |               |                                               |
| LINE/LOCATION                                        | SECTION            | CRITICAL      | REMARKS                                       |
|                                                      |                    | TIMES SX      |                                               |
| Eastleigh                                            | Platforms 2 and 3  | 06.00 – 08.00 | Additional moves to/from the Depot and        |
|                                                      |                    | 17.15 – 19.45 | Yard will be subject to negotiation between   |
|                                                      |                    |               | the bidding operator and Network Rail.        |
