|        |            |            |         |                  |        |          |                     |                |                      |       |      |    |
|:-------|:-----------|:-----------|:--------|:-----------------|:-------|:---------|:--------------------|:---------------|:---------------------|:------|:-----|:---|
|        | 19/12/2023 | 38, 47,    | 3Q10CB  | TO               | 05.20  | LONDON   | HITHER GREEN P.A.D. | 06.45          | UTU-                 | RG    |      |    |
|        |            | 03, 11,    |         |                  |        | WATERLOO |                     |                | T                    |       |      |    |
|        |            | 19 &       |         |                  |        |          |                     |                |                      |       |      |    |
|        |            | 27 & 35    |         |                  |        |          |                     |                |                      |       |      |    |
| UTU034 | 8 -        | 08/12/2023 | 41, 48, | Derby -          | 3Q10BA | MO       | 21.12               | DERBY          | HITHER GREEN P.A.D.  | 06.41 | UTU- | RG |
| S      | weekly     |            | 04, 12, | Grantham - FL -  |        |          |                     | R.T.C.(NETWORK |                      |       | T    |    |
|        |            |            | 20,     | Kings Cross -    |        |          |                     | RAIL)          |                      |       |      |    |
|        |            |            | 28 & 36 | Hither Green     |        |          |                     |                |                      |       |      |    |
| UTU016 | 8 -        | 18/12/2023 | 38, 46, | Derby -          | 3Q10EL | MO       | 20.47               | DERBY          | WOKING UP YARD RECP. | 05.39 | UTU- | RG |
| S      | weekly     |            | 02, 10, | Kettering - St   |        |          |                     | R.T.C.(NETWORK |                      |       | T    |    |
|        |            |            | 18,     | Panc - Mill Hill |        |          |                     | RAIL)          |                      |       |      |    |
|        |            |            | 26 & 34 | Bway - Acton W   |        |          |                     |                |                      |       |      |    |
|        |            |            |         | - Weyb - Byfleet |        |          |                     |                |                      |       |      |    |
|        |            |            |         | - Woking         |        |          |                     |                |                      |       |      |    |
| UTU072 | 8 -        | 29/01/2024 | 44, 52, | Derby - Weaver   | 3Q12FC | MO       | 22.41               | DERBY          | CARLISLE A SIDING    | 06.08 | UTU- | RG |
|        | weekly     |            | 08, 16, | Jn - Carlisle    |        |          |                     | R.T.C.(NETWORK |                      |       | T    |    |
|        |            |            | 24 &    |                  |        |          |                     | RAIL)          |                      |       |      |    |
|        |            |            | 32      |                  |        |          |                     |                |                      |       |      |    |
| UTU110 | 8 -        | 20/12/2023 | 38, 02, | Doncaster West   | 3Q13SC | WO       | 23.39               | DONCASTER      | DONCASTER WEST YARD  | 04.45 | UTU- | RG |
|        | weekly     |            | 18 & 34 | Yard -           |        |          |                     | WEST YARD      |                      |       | T    |    |
|        |            |            |         | Doncaster -      |        |          |                     |                |                      |       |      |    |
|        |            |            |         | Brocklesby -     |        |          |                     |                |                      |       |      |    |
|        |            |            |         | Immingham -      |        |          |                     |                |                      |       |      |    |
|        |            |            |         | Doncaster -      |        |          |                     |                |                      |       |      |    |
|        |            |            |         | Doncaster West   |        |          |                     |                |                      |       |      |    |
|        |            |            |         | Yard             |        |          |                     |                |                      |       |      |    |
