|                                                                                                               |                                              |               |                  |    |    |
|:--------------------------------------------------------------------------------------------------------------|:---------------------------------------------|:--------------|:-----------------|:---|:---|
| Reading                                                                                                       |                                              |               |                  |    |    |
| From Banbury                                                                                                  |                                              | 5             | 5                | 6  | 8  |
| From North of Banbury                                                                                         | 30                                           |               | 15               |    |    |
|                                                                                                               |                                              |               | 20 minutes for   |    |    |
|                                                                                                               |                                              |               | class 22X        |    |    |
| From Bedwyn/Newbury/                                                                                          |                                              | 5             | 5                | 6  | 8  |
| Oxford                                                                                                        |                                              |               |                  |    |    |
| From Hereford/Worcester                                                                                       |                                              |               | 15               | 15 | 15 |
| From Didcot/Henley/                                                                                           |                                              | 5             | 5                |    |    |
| Basingstoke                                                                                                   |                                              |               |                  |    |    |
| From South of Basingstoke                                                                                     |                                              |               | 10               |    |    |
| From South of Wokingham                                                                                       |                                              |               | 10 See           |    |    |
|                                                                                                               |                                              |               | Wessex Route     |    |    |
|                                                                                                               |                                              |               | Timetable        |    |    |
|                                                                                                               |                                              |               | Planning         |    |    |
|                                                                                                               |                                              |               | Rules for        |    |    |
|                                                                                                               |                                              |               | details of turn- |    |    |
|                                                                                                               |                                              |               | round            |    |    |
|                                                                                                               |                                              |               | allowances for   |    |    |
|                                                                                                               |                                              |               | Platforms 4,5    |    |    |
|                                                                                                               |                                              |               | and 6            |    |    |
| From Paddington                                                                                               |                                              | 7             | 7                | 6  | 8  |
| Prior to submitting a bid, Train Operators must discuss with Network Rail any service with a proposed through |                                              |               |                  |    |    |
| platform dwell time of longer than 10 minutes beyond the minimum for the type of service concerned.           |                                              |               |                  |    |    |
| Platform End Conflict Margin                                                                                  |                                              |               |                  |    |    |
| First Movement                                                                                                | Second Movement                              | Margin        |                  |    |    |
| A down train from Platforms 1, 2, 3 or 7 towards                                                              | An Up train to platforms 1, 2, 3 and 7 from  | 3 minutes     |                  |    |    |
| Oxford Road Jn                                                                                                | Oxford Road Jn via a conflicting route       |               |                  |    |    |
| A down train from Platforms 8 towards Oxford                                                                  | An Up train to Platforms 1,2,3,7 or 8 from   | 6 minutes     |                  |    |    |
| Road Jn greater than 80 SLU                                                                                   | Oxford Road Jn                               |               |                  |    |    |
| A down train from Platforms 8 towards Oxford                                                                  | An Up train to Platforms 1,2,3,7 or 8 from   | 5 minutes     |                  |    |    |
| Road Jn less than 80 SLU                                                                                      | Oxford Road Jn                               |               |                  |    |    |
| A down train from Platforms 7 or 8 towards                                                                    | A down train from Platforms 3 or 7 towards   | 3 minutes     |                  |    |    |
| Southcote Jn                                                                                                  | High Level Jn                                |               |                  |    |    |
| A down train from Platforms 3 or 7 towards the                                                                | A down train from Platforms 7 or 8 towards   | 3 minutes     |                  |    |    |
| Festival Line                                                                                                 | Southcote Jn                                 |               |                  |    |    |
| An up train from Oxford Road Jn or Reading                                                                    | A down train towards Oxford Road Jn from     | 1 minute      |                  |    |    |
| Triangle Sidings towards Platform 1-3                                                                         | Platforms 7 or 8                             |               |                  |    |    |
| An up train from High Level Jn to Platform 3 or                                                               | A conflicting down train towards Oxford Road | 1 minute      |                  |    |    |
| 7                                                                                                             | Jn from Platforms 7 or 8                     |               |                  |    |    |
| Depart/Pass Platform 3, 7 or 8 to Reading                                                                     | Arrive/Pass Platform 3, 7 or 8 from Oxford   | 31⁄2 minutes  |                  |    |    |
| Festival Line                                                                                                 | Road Jn                                      |               |                  |    |    |
| An up departure from Platforms 7 or 8 towards                                                                 | A down arrival at Platforms 7-9 from Reading | Standard Jn   |                  |    |    |
| Reading New Jn / Kennet Bridge Jn                                                                             | New Jn / Kennet Bridge Jn                    | Margin matrix |                  |    |    |
|                                                                                                               |                                              | to apply at   |                  |    |    |
|                                                                                                               |                                              | Kennet        |                  |    |    |
|                                                                                                               |                                              | Bridge Jn /   |                  |    |    |
|                                                                                                               |                                              | Reading New   |                  |    |    |
|                                                                                                               |                                              | Jn            |                  |    |    |
| A down train from Kennet Bridge Jn or Reading                                                                 | An up train from Platforms 7 or 8 to Reading | 1 minute      |                  |    |    |
| New Jn to Platform 9                                                                                          | New Jn or Kennet Bridge Jn                   |               |                  |    |    |
