|                                                                                                                      |                                          |                                                                  |
|:---------------------------------------------------------------------------------------------------------------------|:-----------------------------------------|:-----------------------------------------------------------------|
| SO130 LONDON CHARING CROSS TO DOVER PRIORY (VIA TONBRIDGE)                                                           |                                          |                                                                  |
| London Charing Cross                                                                                                 |                                          |                                                                  |
| Berthing Facilities                                                                                                  |                                          |                                                                  |
| Location                                                                                                             | Cars                                     | Notes                                                            |
| Platform 1                                                                                                           | 12                                       | Refer to the Sectional Appendix, Route SO130, Local Instructions |
| Platform 2                                                                                                           | 12                                       | Refer to the Sectional Appendix, Route SO130, Local Instructions |
| Platform 3                                                                                                           | 12                                       | Refer to the Sectional Appendix, Route SO130, Local Instructions |
| Platform 4                                                                                                           | 12                                       | Refer to the Sectional Appendix, Route SO130, Local Instructions |
| Platform 5                                                                                                           | 12                                       | Refer to the Sectional Appendix, Route SO130, Local Instructions |
| Platform 6                                                                                                           | 12                                       | Refer to the Sectional Appendix, Route SO130, Local Instructions |
| Additional Note                                                                                                      |                                          |                                                                  |
| Class 465 trains formed of 12 coaches are not permitted in Platforms 4, 5 and 6                                      |                                          |                                                                  |
| Connectional Allowance                                                                                               | 4                                        |                                                                  |
| Junction Margins                                                                                                     | Margin                                   |                                                                  |
| Reoccupation/conflicting moves on Platforms 1, 2, 3, 5 and 6                                                         | 3                                        |                                                                  |
| Reoccupation/conflicting moves on Platform 4                                                                         | 4*                                       |                                                                  |
| *  An arrival on Platform 4 can take place at the same time as a departure from platform 5 or platform 6 (there is a |                                          |                                                                  |
| long run in from 654 points crossover and intermediate signal TL17 on the Down Fast)                                 |                                          |                                                                  |
| Permissive Working for attaching/detaching and platform sharing is authorised as shown below:                        |                                          |                                                                  |
| Platform 1                                                                                                           | Attaching/Detaching and Platform Sharing |                                                                  |
| Platform 2                                                                                                           | Attaching/Detaching and Platform Sharing |                                                                  |
| Platform 3                                                                                                           | Attaching/Detaching and Platform Sharing |                                                                  |
| Platform 4                                                                                                           | Attaching/Detaching and Platform Sharing |                                                                  |
| Platform 5                                                                                                           | Attaching/Detaching and Platform Sharing |                                                                  |
| Platform 6                                                                                                           | Attaching/Detaching and Platform Sharing |                                                                  |
| Station Working Requirements                                                                                         |                                          |                                                                  |
| At London termini 3 minutes to be allowed if possible between arrivals on adjacent platforms to allow customers      |                                          |                                                                  |
| to clear in the morning and evening peak                                                                             |                                          |                                                                  |
| London Waterloo East                                                                                                 |                                          |                                                                  |
| Connectional Allowance                                                                                               | 4                                        |                                                                  |
| Dwell Time                                                                                                           |                                          |                                                                  |
| All Services                                                                                                         | 1                                        |                                                                  |
| Platform Reoccupation                                                                                                | Margin                                   |                                                                  |
| All platforms                                                                                                        | 2                                        |                                                                  |
| Ewer Street Junction                                                                                                 |                                          |                                                                  |
| Junction Margins                                                                                                     | Margin                                   |                                                                  |
| Between all movements                                                                                                | 2*                                       |                                                                  |
| * - 11⁄2 minutes is permissible but not for successive moves                                                         |                                          |                                                                  |
