|        |            |            |         |                |        |      |                     |                |                      |       |      |    |
|:-------|:-----------|:-----------|:--------|:---------------|:-------|:-----|:--------------------|:---------------|:---------------------|:------|:-----|:---|
| UTU047 | 8 -        | 19/12/2023 | 38, 47, | Hither Green - | 3Q48BA | TO   | 23.57               | HITHER GREEN   | HITHER GREEN P.A.D.  | 06.41 | UTU- | RG |
|        | weekly     |            | 03, 11, | Orpington -    |        |      |                     | P.A.D.         |                      |       | T    |    |
|        |            |            | 19,     | Dover - Hither |        |      |                     |                |                      |       |      |    |
|        |            |            | 27 & 35 | Green          |        |      |                     |                |                      |       |      |    |
| UTU011 | 8 -        | 15/12/2023 | 37, 45, | Carlisle -     | 3Q54FC | FO   | 22.26               | CARLISLE A     | DERBY R.T.C.(NETWORK | 08.32 | UTU- | RG |
|        | weekly     |            | 01, 09, | Weaver Jn -    |        |      |                     | SIDING         | RAIL)                |       | T    |    |
|        |            |            | 17,     | Derby RTC      |        |      |                     |                |                      |       |      |    |
|        |            |            | 25 & 33 |                |        |      |                     |                |                      |       |      |    |
| UTU100 | 8 -        | 18/12/2023 | 38, 46, | Derby -        | 3Q56SB | MO   | 20.51               | DERBY          | YORK                 | 03.19 | UTU- | RG |
|        | weekly     |            | 02, 10, | Grantham -     |        |      |                     | R.T.C.(NETWORK |                      |       | T    |    |
|        |            |            | 18,     | Doncaster -    |        |      |                     | RAIL)          |                      |       |      |    |
|        |            |            | 26 & 34 | Leeds - York - |        |      |                     |                |                      |       |      |    |
|        |            |            |         | Doncaster West |        |      |                     |                |                      |       |      |    |
|        |            |            |         | Yard           |        |      |                     |                |                      |       |      |    |
|        | 19/12/2023 | 38, 46,    | 3Q57SB  | TO             | 03.32  | YORK | DONCASTER WEST YARD | 05.52          | UTU-                 | RG    |      |    |
|        |            | 02, 10,    |         |                |        |      |                     |                | R                    |       |      |    |
|        |            | 18,        |         |                |        |      |                     |                |                      |       |      |    |
|        |            | 26 & 34    |         |                |        |      |                     |                |                      |       |      |    |
| UTU060 | 8 -        | 24/01/2024 | 43, 51, | Reading -      | 3Q60SB | WO   | 22.42               | READING        | WESTBURY DOWN T.C.   | 07.25 | UTU- | RG |
| A &    | weekly     |            | 07, 15, | Badminton -    |        |      |                     | TRIANGLE       |                      |       | T    |    |
| UTU060 |            |            | 23 &    | Cardiff -      |        |      |                     | SIDINGS        |                      |       |      |    |
| B      |            |            | 31      | Bathampton -   |        |      |                     |                |                      |       |      |    |
|        |            |            |         | Westbury       |        |      |                     |                |                      |       |      |    |
