|                                                           |       |                  |                                                        |
|:----------------------------------------------------------|:------|:-----------------|:-------------------------------------------------------|
| LN862 BARNSLEY STATION JUNCTION TO HUDDERSFIELD           |       |                  |                                                        |
| TIMING POINT                                              | DOWN  | UP               | NOTES                                                  |
| Standard Headway                                          | AB+2* | *Single Line TCB |                                                        |
| Exceptions:                                               |       |                  |                                                        |
| Clayton West Junction to                                  | AB+2  | AB+2             |                                                        |
| Stocksmoor                                                |       |                  |                                                        |
| LN868 WINCOBANK JUNCTION TO HORBURY JUNCTION VIA BARNSLEY |       |                  |                                                        |
| TIMING POINT                                              | DOWN  | UP               | NOTES                                                  |
| Wincobank Junction to Ecclesfield                         | 5     | 5                |                                                        |
| West                                                      |       |                  |                                                        |
| Ecclesfield West to Barnsley                              | 8     | 8                |                                                        |
| Barnsley to Woolley Coal Sdg SB                           | AB+2  | AB+2             | When Woolley Coal Sdg S/B is closed AB Section is      |
|                                                           |       |                  | between Barnsley and Horbury Junction. Refer to        |
|                                                           |       |                  | Signal Box Compendium for Signal Box opening           |
|                                                           |       |                  | hours                                                  |
|                                                           |       |                  |                                                        |
|                                                           |       |                  | Two trains following each other in Down direction      |
|                                                           |       |                  | towards Horbury. Second train can depart/pass          |
|                                                           |       |                  | Barnsley at same time first train passes Wooley        |
|                                                           |       |                  | Coal Sdg signal box. When Woolley Coal siding is       |
|                                                           |       |                  | switched out, second train can depart/pass Barnsley    |
|                                                           |       |                  | at same time first train passes Horbury Junction. In   |
|                                                           |       |                  | either case, the train must have {1} after Barnsley to |
|                                                           |       |                  | allow for departing under a Y signal                   |
| Woolley Coal Sdg S.B to Horbury                           | AB+2  | AB+2             |                                                        |
| Junction                                                  |       |                  |                                                        |
| LN870 TURNERS LANE TO CALDER BRIDGE JUNCTION              |       |                  |                                                        |
| TIMING POINT                                              | DOWN  | UP               | NOTES                                                  |
| Turners Lane Jn to Calder Bridge                          | AB+2  | AB+2             | TCB plan as AB                                         |
| Jn                                                        |       |                  |                                                        |
| LN872 ALTOFTS JUNCTION TO LEEDS WEST JUNCTION             |       |                  |                                                        |
| TIMING POINT                                              | DOWN  | UP               | NOTES                                                  |
| Standard Headway                                          | 4     | 4                |                                                        |
| LN874 METHLEY JUNCTION TO WHITWOOD JUNCTION               |       |                  |                                                        |
| TIMING POINT                                              | DOWN  | UP               | NOTES                                                  |
| Standard Headway                                          | 3     | 3                |                                                        |
