|        |        |            |         |                  |        |     |       |                |                       |      |      |    |
|:-------|:-------|:-----------|:--------|:-----------------|:-------|:----|------:|:---------------|:----------------------|-----:|:-----|:---|
| UTU031 | 8 -    | 23/01/2024 | 43, 51, | Reading -        | 3Q05DA | TO  | 23.18 | READING        | READING TRIANGLE      | 6.12 | UTU- | RG |
| A &    | weekly |            | 07, 15, | Guildford -      |        |     |       | TRIANGLE       | SIDINGS               |      | T    |    |
|        |        |            | 23 &    | Woking -         |        |     |       | SIDINGS        |                       |      |      |    |
| UTU031 |        |            | 31      | Portsmouth -     |        |     |       |                |                       |      |      |    |
| B      |        |            |         | Guildford -      |        |     |       |                |                       |      |      |    |
|        |        |            |         | Reading          |        |     |       |                |                       |      |      |    |
|        |        |            |         | different        |        |     |       |                |                       |      |      |    |
|        |        |            |         | recording        |        |     |       |                |                       |      |      |    |
|        |        |            |         | sections         |        |     |       |                |                       |      |      |    |
| UTU058 | 8 -    | 15/01/2024 | 42, 50, | Derby - Reading  | 3Q06DD | MO  | 14.28 | DERBY          | EXETER RIVERSIDE N.Y. | 2.45 | UTU- | RG |
|        | weekly |            | 06, 14, | - Cogload -      |        |     |       | R.T.C.(NETWORK |                       |      | R    |    |
|        |        |            | 22 &    | Exeter           |        |     |       | RAIL)          |                       |      |      |    |
|        |        |            | 30      |                  |        |     |       |                |                       |      |      |    |
| UTU147 | 8 -    | 18/01/2024 | 42, 50, | Exeter -         | 3Q07DA | ThO | 20.53 | EXETER         | EXETER RIVERSIDE N.Y. | 4.58 | UTU- | RG |
| A &    | weekly |            | 06, 14, | Salisbury -      |        |     |       | RIVERSIDE N.Y. |                       |      | T    |    |
| UTU147 |        |            | 22 &    | Exeter different |        |     |       |                |                       |      |      |    |
| B      |        |            | 30      | recording        |        |     |       |                |                       |      |      |    |
|        |        |            |         | sections         |        |     |       |                |                       |      |      |    |
| UTU041 | 8 -    | 22/01/2024 | 43, 51, | Reading -        | 3Q07SG | MO  | 21.2  | READING        | DERBY R.T.C.(NETWORK  | 4.58 | UTU- | RG |
|        | weekly |            | 07, 15, | Cricklewood -    |        |     |       | TRIANGLE       | RAIL)                 |      | T    |    |
|        |        |            | 23 &    | Leicester -      |        |     |       | SIDINGS        |                       |      |      |    |
|        |        |            | 31      | Derby            |        |     |       |                |                       |      |      |    |
| UTU017 | 8 -    | 19/01/2024 | 42, 49, | Heaton -         | 3Q08GN | FO  | 22.55 | HEATON         | DERBY R.T.C.(NETWORK  | 6.24 | UTU- | RG |
|        | weekly |            | 05, 13, | Newcastle -      |        |     |       | T&R.S.M.D.     | RAIL)                 |      | T    |    |
|        |        |            | 21 &    | Doncaster -      |        |     |       |                |                       |      |      |    |
|        |        |            | 29      | Barrow Hill -    |        |     |       |                |                       |      |      |    |
|        |        |            |         | Derby            |        |     |       |                |                       |      |      |    |
