|                          |                                                                                                                      |    |
|:-------------------------|:---------------------------------------------------------------------------------------------------------------------|:---|
| Shap Summit              |                                                                                                                      |    |
| Pass on Up or Down Mains | Down departure of over 283 meters/44 SLU                                                                             | 2  |
|                          | from Shap Summit Quarry arrives Shap                                                                                 |    |
|                          | Summit                                                                                                               |    |
|                          | Shap Summit Quarry                                                                                                   |    |
|                          | Arriving Trains                                                                                                      |    |
|                          | Down arrivals will be signalled towards CE133 signal on the Down Sidings and draws forward into the neck. Once       |    |
|                          | the rear of the train is clear of the hand points leading to the loading siding, the locomotive will propel into the |    |
|                          | loading siding. A dot stop to be shown at Shap Summit for arrivals.                                                  |    |
|                          |                                                                                                                      |    |
|                          | Up arrivals are required to run forward to Tebay where the locomotive can run-round the train and proceed in the     |    |
|                          | Down direction to Shap Summit Quarry, as described above.                                                            |    |
|                          | Departing Trains                                                                                                     |    |
