route	page	station	platform	usable length [m]	notes
AR	0157	Acle	1 (Up)	169	(82m in operational use)
AR	0157	Acle	2 (Down)	118	(86m in operational use)
AR	0157	Acton Central	1 (Westbound)	117	
AR	0157	Acton Central	2 (Eastbound)	133	
AR	0157	Alresford	1 (Up)	176	10-car 720 permitted with ASDO operation
AR	0157	Alresford	2 (Down)	176	10-car 720 permitted with ASDO operation
AR	0157	Althorne	Single	161	10-car 720 permitted with ASDO operation
AR	0157	Attleborough	1 (Down)	114	(90m in operational use)
AR	0157	Attleborough	2 (Up)	128	
AR	0157	Audley End	1 (Up)	246.7	
AR	0157	Audley End	2 (Down)	254.6	
AR	0157	Barking	1 (Bay)	184.5	
AR	0157	Barking	4	278	
AR	0157	Barking	5	257	
AR	0157	Barking	7 (Down)	244	
AR	0157	Barking	8 (Up)	250	
AR	0157	Barking Riverside	1	110	
AR	0157	Barking Riverside	2	110	
AR	0157	Basildon	1 (Up)	251	
AR	0157	Basildon	2 (Down)	251	
AR	0157	Battlesbridge	Single	166	10-car 720 permitted with ASDO operation
AR	0157	Beccles	1 (Up)	125	
AR	0157	Beccles	2 (Down)	125	
AR	0157	Benfleet	1 (Up)	251	
AR	0157	Benfleet	2 (Down)	251	
AR	0157	Berney Arms	Single	18	3/4-car 755 permitted with ASDO operation
AR	0157	Bethnal Green	1 (Up)	174.6	Suburban Line only
AR	0157	Bethnal Green	2 (Down)	188.5	Suburban Line only
AR	0157	Billericay	1 (Up)	248	
AR	0157	Billericay	2 (Down)	249	
AR	0157	Bishop’s Stortford	1	251	
AR	0157	Bishop’s Stortford	2	251	
AR	0157	Bishop’s Stortford	3	251	
AR	0157	Blackhorse Road	1 (Up)	84.7	
AR	0157	Blackhorse Road	2 (Down)	85.1	
AR	0157	Braintree	Single	247	
AR	0157	Braintree Freeport	Single	165.9	10-car 720 permitted with ASDO operation
AR	0157	Brampton	Single	73	4-car 755 permitted with ASDO operation
AR	0157	Brandon	1 (Down)	91	
AR	0157	Brandon	2 (Up)	91	
AR	0157	Brentwood	1 (Up Main)	211	
AR	0157	Brentwood	2 (Down Main)	211	
AR	0157	Brentwood	3 (Up Electric)	211	
AR	0157	Brentwood	4 (Down Electric)	211	
AR	0158	Brimsdown	1 (Up)	162.5	10-car 720 permitted with ASDO operation
AR	0158	Brimsdown	2 (Down)	181.5	10-car 720 permitted with ASDO operation
AR	0158	Brondesbury	1 (Westbound)	107	
AR	0158	Brondesbury	2 (Eastbound)	109	
AR	0158	Brondesbury Park	1 (Westbound)	106	
AR	0158	Brondesbury Park	2 (Eastbound)	126	
AR	0158	Broxbourne	1	244	
AR	0158	Broxbourne	2	245	
AR	0158	Broxbourne	3	245	
AR	0158	Broxbourne	4	244	
AR	0158	Bruce Grove	1 (Up)	187.1	
AR	0158	Bruce Grove	2 (Down)	182.7	
AR	0158	Brundall	1 (Up)	159	(118m in operational use)
AR	0158	Brundall	2 (Down)	143	(98m in operational use)
AR	0158	Brundall Gardens	1 (Up)	58	4-car 755 permitted with ASDO operation
AR	0158	Brundall Gardens	2 (Down)	58	4-car 755 permitted with ASDO operation
AR	0158	Buckenham	1 (Up)	60	3/4-car 755 permitted with ASDO operation
AR	0158	Buckenham	2 (Down)	135	(52m in operational use) 3/4-car 755 permitted with ASDO operation
AR	0158	Bures	Single	82	TAWS fitted 3-car Class 755 units only
AR	0158	Burnham-on-Crouch	Single	169	10-car 720 permitted with ASDO operation
AR	0158	Bury St Edmunds	1 (Up)	102.4	
AR	0158	Bury St Edmunds	2 (Down)	115.8	
AR	0158	Bush Hill Park	1 (Up)	188.5	
AR	0158	Bush Hill Park	2 (Down)	188.9	
AR	0158	Caledonian Road & Barnsbury	2 (Westbound)	107	
AR	0158	Caledonian Road & Barnsbury	3 (Eastbound)	124	
AR	0158	Cambridge	1	255	12-car capacity
AR	0158	Cambridge	2	207	
AR	0158	Cambridge	3	166	
AR	0158	Cambridge	4	260	12-car Class 387 permitted in down direction only
AR	0158	Cambridge	5	121	Class 720s are not permitted to use Platform 5
AR	0158	Cambridge	6	145	Maximum 4-car EMU/BMU plus 2-car Class 158/170 DMU, or 6-car Class 158/170
AR	0158	Cambridge	7	270	
AR	0158	Cambridge	8	270	
AR	0158	Cambridge Heath	1 (Up)	183.8	Suburban Line only
AR	0158	Cambridge Heath	2 (Down)	179.3	Suburban Line only
AR	0158	Cambridge North	1 (Up)	254	
AR	0158	Cambridge North	2 (Down)	254	
AR	0158	Cambridge North	3 (Bay)	254	
AR	0158	Camden Road	1 (Westbound)	109	
AR	0158	Camden Road	2 (Eastbound)	121	
AR	0158	Canonbury	3 (Westbound) NLL	106	
